user_id,interests,activity_level
user_134,"['business', 'ai']",low
user_135,"['design', 'art', 'marketing', 'python', 'investing']",high
user_136,"['python', 'machine learning', 'startups']",low
user_137,"['python', 'marketing', 'startups', 'web development']",medium
user_138,"['programming', 'web development', 'finance']",high
user_139,"['business', 'design', 'web development', 'python', 'art']",medium
user_140,['javascript'],medium
user_141,"['ai', 'health', 'data science', 'social media']",medium
user_142,['food'],medium
user_143,['design'],high
user_144,['fitness'],high
user_145,['business'],low
user_146,['social media'],low
user_147,"['social media', 'art', 'business', 'startups']",low
user_148,"['startups', 'food', 'social media', 'photography', 'web development']",low
user_149,"['python', 'photography']",low
user_150,"['javascript', 'social media']",medium
user_151,"['design', 'fitness', 'health', 'travel']",medium
user_152,"['ai', 'javascript', 'startups', 'health']",medium
user_153,"['travel', 'data science', 'machine learning']",high
user_154,"['food', 'travel', 'investing', 'machine learning']",low
user_155,['data science'],high
user_156,"['marketing', 'art', 'technology', 'python', 'travel']",medium
user_157,['health'],low
user_158,"['design', 'investing', 'ai', 'business']",high
user_159,"['web development', 'technology', 'social media']",low
user_160,['ai'],low
user_161,"['technology', 'fitness', 'python', 'photography', 'marketing']",low
user_162,['food'],high
user_163,"['python', 'web development', 'javascript', 'programming']",high
user_164,"['finance', 'web development']",medium
user_165,"['machine learning', 'health']",low
user_166,['design'],medium
user_167,"['web development', 'python', 'food', 'art', 'finance']",high
user_168,"['food', 'business', 'fitness', 'travel', 'finance']",medium
user_169,['startups'],low
user_170,"['travel', 'javascript', 'art']",low
user_171,"['investing', 'fitness', 'ai']",low
user_172,"['design', 'javascript', 'business']",low
user_173,"['travel', 'python', 'art']",medium
user_174,"['technology', 'health', 'business']",low
user_175,"['business', 'art', 'design']",medium
user_176,"['technology', 'food']",high
user_177,"['javascript', 'health', 'social media', 'design', 'machine learning']",medium
user_178,"['programming', 'health', 'finance', 'photography']",medium
user_179,"['machine learning', 'social media', 'python', 'startups']",low
user_180,"['business', 'photography', 'technology', 'data science', 'startups']",low
user_181,"['programming', 'javascript', 'web development']",low
user_182,['startups'],high
user_183,['web development'],medium
user_184,"['social media', 'web development', 'photography', 'travel']",high
user_185,"['art', 'fitness']",low
user_186,"['marketing', 'programming', 'business']",high
user_187,['social media'],high
user_188,"['finance', 'health']",medium
user_189,"['investing', 'python', 'programming', 'marketing', 'design']",medium
user_190,"['photography', 'health', 'web development']",medium
user_191,"['startups', 'travel', 'fitness', 'web development', 'design']",medium
user_192,"['finance', 'photography', 'business', 'health']",high
user_193,"['photography', 'social media', 'programming']",low
user_194,"['data science', 'design']",high
user_195,['ai'],low
user_196,"['art', 'design', 'startups', 'health', 'fitness']",high
user_197,['ai'],medium
user_198,['social media'],high
user_199,"['food', 'machine learning', 'art']",high
user_200,"['startups', 'ai']",medium
user_201,"['marketing', 'photography']",high
user_202,"['travel', 'technology', 'investing']",medium
user_203,['programming'],medium
user_204,"['design', 'web development']",high
user_205,"['finance', 'data science', 'design', 'marketing']",high
user_206,"['marketing', 'social media', 'python', 'fitness', 'machine learning']",low
user_207,"['javascript', 'startups']",low
user_208,"['food', 'fitness']",high
user_209,"['web development', 'python', 'machine learning', 'programming']",low
user_210,"['social media', 'machine learning']",low
user_211,"['javascript', 'fitness', 'machine learning', 'food', 'programming']",low
user_212,"['ai', 'food', 'finance', 'machine learning', 'fitness']",high
user_213,"['technology', 'food']",medium
user_214,"['ai', 'social media', 'art', 'investing']",low
user_215,"['data science', 'javascript', 'photography', 'business']",low
user_216,"['ai', 'programming', 'art', 'fitness', 'data science']",medium
user_217,"['finance', 'business', 'investing', 'ai', 'startups']",high
user_218,"['food', 'photography', 'finance', 'travel', 'business']",medium
user_219,"['web development', 'data science', 'finance', 'marketing']",low
user_220,"['social media', 'technology', 'programming', 'food', 'design']",low
user_221,"['business', 'finance']",high
user_222,"['business', 'startups']",low
user_223,['marketing'],high
user_224,['travel'],low
user_225,"['javascript', 'marketing']",medium
user_226,"['programming', 'food', 'fitness']",medium
user_227,"['marketing', 'programming', 'machine learning', 'design']",medium
user_228,"['design', 'ai']",high
user_229,"['finance', 'investing', 'fitness', 'photography']",low
user_230,"['design', 'programming', 'fitness', 'ai']",low
user_231,"['food', 'art', 'photography', 'data science', 'programming']",high
user_232,"['investing', 'finance']",high
user_233,['art'],medium
user_234,"['ai', 'marketing']",high
user_235,"['health', 'photography', 'startups']",low
user_236,['photography'],medium
user_237,"['design', 'travel']",high
user_238,"['ai', 'health', 'investing', 'finance', 'design']",high
user_239,"['technology', 'marketing']",high
user_240,"['programming', 'startups', 'social media']",high
user_241,"['web development', 'marketing', 'fitness']",medium
user_242,"['art', 'food', 'social media', 'javascript', 'health']",medium
user_243,"['photography', 'business', 'ai', 'python']",high
user_244,"['business', 'marketing', 'social media', 'art']",high
user_245,"['investing', 'art', 'startups', 'web development']",high
user_246,"['javascript', 'investing']",low
user_247,"['business', 'machine learning']",low
user_248,"['javascript', 'travel', 'business', 'finance']",low
user_249,"['technology', 'python', 'finance']",high
user_250,"['ai', 'travel', 'marketing', 'technology']",high
user_251,"['ai', 'food', 'programming']",high
user_252,['machine learning'],medium
user_253,"['javascript', 'photography', 'design', 'social media']",low
user_254,"['data science', 'fitness']",high
user_255,"['startups', 'fitness', 'finance']",high
user_256,"['social media', 'fitness', 'marketing', 'finance']",low
user_257,"['fitness', 'marketing', 'finance', 'startups']",high
user_258,"['technology', 'marketing', 'python']",medium
user_259,"['investing', 'javascript', 'ai']",low
user_260,"['machine learning', 'photography', 'social media', 'fitness']",high
user_261,"['social media', 'design', 'data science', 'business']",medium
user_262,"['business', 'finance', 'python', 'design']",high
user_263,"['ai', 'fitness', 'food', 'health', 'travel']",medium
user_264,"['design', 'machine learning', 'travel', 'programming', 'web development']",high
user_265,"['health', 'data science']",medium
user_266,"['art', 'health', 'web development']",high
user_267,"['travel', 'technology', 'art', 'fitness']",high
user_268,"['art', 'health']",medium
user_269,['finance'],medium
user_270,"['marketing', 'python', 'data science']",high
user_271,['programming'],low
user_272,"['ai', 'web development']",high
user_273,['health'],high
user_274,"['health', 'art', 'machine learning', 'investing']",medium
user_275,"['photography', 'javascript', 'art']",low
user_276,"['programming', 'technology', 'machine learning', 'food']",low
user_277,"['ai', 'web development', 'investing', 'photography', 'python']",high
user_278,"['art', 'startups']",high
user_279,"['art', 'data science']",high
user_280,['photography'],medium
user_281,"['design', 'javascript', 'marketing', 'photography', 'fitness']",high
user_282,"['photography', 'design', 'javascript', 'ai', 'data science']",low
user_283,['javascript'],medium
user_284,"['marketing', 'travel', 'finance', 'ai', 'food']",low
user_285,"['design', 'business']",high
user_286,"['art', 'business', 'machine learning']",low
user_287,"['social media', 'photography', 'programming', 'health', 'javascript']",medium
user_288,"['marketing', 'travel', 'ai']",high
user_289,"['photography', 'art', 'food', 'social media']",low
user_290,"['social media', 'fitness']",medium
user_291,"['design', 'data science', 'art', 'programming', 'photography']",medium
user_292,"['design', 'travel', 'javascript', 'web development']",low
user_293,"['python', 'finance', 'art', 'data science']",low
user_294,"['ai', 'data science', 'food', 'machine learning']",low
user_295,['data science'],medium
user_296,['startups'],low
user_297,"['food', 'investing', 'programming', 'travel']",medium
user_298,"['art', 'business', 'photography']",low
user_299,"['python', 'health', 'social media']",high
user_300,"['art', 'social media', 'data science']",medium
user_301,['business'],medium
user_302,['business'],high
user_303,"['art', 'ai', 'web development', 'technology', 'machine learning']",low
user_304,"['web development', 'python', 'ai', 'finance']",high
user_305,['ai'],high
user_306,"['health', 'business']",low
user_307,"['investing', 'startups', 'health', 'javascript', 'art']",high
user_308,"['travel', 'investing', 'art', 'design']",high
user_309,"['art', 'ai', 'design', 'travel', 'business']",low
user_310,"['social media', 'web development', 'startups']",low
user_311,['python'],high
user_312,"['investing', 'health', 'fitness']",medium
user_313,['travel'],medium
user_314,"['social media', 'machine learning']",medium
user_315,"['business', 'finance', 'ai', 'marketing']",low
user_316,['technology'],high
user_317,['photography'],high
user_318,"['startups', 'investing', 'business', 'travel', 'javascript']",low
user_319,['food'],low
user_320,"['javascript', 'finance', 'fitness', 'machine learning', 'data science']",low
user_321,"['python', 'design', 'programming', 'social media']",medium
user_322,"['marketing', 'ai']",high
user_323,"['art', 'python', 'ai']",high
user_324,"['data science', 'art', 'investing', 'machine learning', 'startups']",medium
user_325,"['food', 'social media']",medium
user_326,"['business', 'ai', 'social media']",low
user_327,"['health', 'marketing', 'photography', 'food']",high
user_328,"['finance', 'startups', 'data science']",medium
user_329,"['investing', 'photography', 'art']",low
user_330,"['investing', 'social media', 'technology', 'business']",low
user_331,"['business', 'machine learning', 'finance', 'photography']",high
user_332,"['finance', 'ai', 'technology', 'fitness', 'javascript']",high
user_333,"['finance', 'programming', 'social media']",low
user_334,"['startups', 'photography']",high
user_335,"['health', 'finance', 'ai', 'web development']",medium
user_336,"['photography', 'ai', 'technology', 'investing']",medium
user_337,['javascript'],medium
user_338,"['programming', 'food', 'ai']",high
user_339,['design'],medium
user_340,"['business', 'fitness', 'photography', 'machine learning']",high
user_341,"['finance', 'photography', 'marketing']",medium
user_342,['fitness'],low
user_343,"['social media', 'food', 'health']",medium
user_344,['python'],high
user_345,"['photography', 'social media', 'travel', 'investing', 'business']",low
user_346,"['business', 'programming', 'design']",medium
user_347,"['startups', 'data science', 'machine learning', 'investing']",medium
user_348,"['art', 'fitness', 'ai', 'data science']",low
user_349,"['machine learning', 'photography']",medium
user_350,['marketing'],medium
user_351,"['python', 'fitness', 'health', 'investing']",low
user_352,['marketing'],medium
user_353,"['machine learning', 'startups', 'marketing', 'javascript']",low
user_354,"['programming', 'travel', 'art']",low
user_355,"['startups', 'business', 'art', 'python', 'ai']",low
user_356,"['art', 'javascript', 'programming']",low
user_357,"['programming', 'photography']",medium
user_358,"['business', 'art', 'finance', 'food']",medium
user_359,"['machine learning', 'web development', 'startups']",high
user_360,"['javascript', 'python', 'finance']",low
user_361,"['machine learning', 'business', 'food', 'social media', 'startups']",low
user_362,"['fitness', 'health', 'web development', 'business', 'startups']",high
user_363,['technology'],medium
user_364,"['data science', 'programming', 'social media']",high
user_365,"['health', 'design', 'business', 'machine learning']",low
user_366,"['photography', 'python', 'business', 'fitness']",medium
user_367,"['business', 'programming', 'finance', 'investing']",low
user_368,['ai'],low
user_369,"['startups', 'technology', 'photography']",high
user_370,['ai'],low
user_371,"['business', 'food', 'social media', 'health', 'machine learning']",low
user_372,"['social media', 'finance']",medium
user_373,['fitness'],low
user_374,['social media'],low
user_375,"['social media', 'photography', 'javascript']",medium
user_376,['javascript'],low
user_377,"['fitness', 'technology']",low
user_378,"['startups', 'health', 'data science']",high
user_379,"['ai', 'startups', 'business', 'travel', 'python']",low
user_380,"['art', 'technology']",low
user_381,"['fitness', 'javascript', 'data science', 'programming']",high
user_382,['machine learning'],high
user_383,"['fitness', 'startups', 'ai', 'social media']",low
user_384,"['machine learning', 'programming', 'photography', 'ai', 'finance']",low
user_385,"['programming', 'food', 'marketing', 'social media', 'investing']",low
user_386,"['marketing', 'data science']",medium
user_387,['javascript'],low
user_388,"['javascript', 'web development']",low
user_389,"['photography', 'travel', 'design', 'fitness', 'web development']",high
user_390,['business'],medium
user_391,['photography'],medium
user_392,['technology'],medium
user_393,"['investing', 'javascript']",low
user_394,"['travel', 'social media', 'design']",high
user_395,['photography'],high
user_396,"['photography', 'health', 'ai', 'web development', 'python']",high
user_397,"['technology', 'programming']",low
user_398,"['fitness', 'programming', 'social media', 'javascript']",high
user_399,['web development'],high
user_400,"['food', 'business']",low
user_401,"['startups', 'marketing', 'photography', 'investing', 'art']",low
user_402,"['food', 'technology', 'startups', 'web development', 'data science']",low
user_403,['photography'],low
user_404,['data science'],low
user_405,"['fitness', 'data science', 'social media']",low
user_406,"['fitness', 'photography', 'javascript', 'web development']",low
user_407,"['fitness', 'machine learning', 'design']",medium
user_408,"['art', 'food']",medium
user_409,['finance'],medium
user_410,"['food', 'fitness']",medium
user_411,"['javascript', 'food', 'data science', 'business']",medium
user_412,['social media'],high
user_413,"['ai', 'art', 'marketing', 'health', 'finance']",low
user_414,"['technology', 'business', 'art']",high
user_415,"['programming', 'web development', 'machine learning', 'startups']",high
user_416,"['investing', 'fitness', 'programming']",low
user_417,"['investing', 'data science', 'startups']",high
user_418,"['photography', 'health', 'programming']",medium
user_419,"['food', 'ai', 'fitness']",high
user_420,"['data science', 'food', 'health', 'finance']",low
user_421,"['food', 'startups', 'finance', 'social media']",medium
user_422,"['art', 'health', 'web development', 'data science', 'finance']",medium
user_423,['art'],low
user_424,"['design', 'marketing', 'python']",low
user_425,"['startups', 'machine learning', 'javascript', 'fitness']",medium
user_426,"['web development', 'machine learning', 'travel', 'marketing']",medium
user_427,['technology'],low
user_428,"['fitness', 'technology']",high
user_429,"['food', 'javascript']",high
user_430,['social media'],high
user_431,"['marketing', 'ai', 'data science']",high
user_432,['javascript'],low
user_433,"['programming', 'fitness', 'social media', 'business', 'marketing']",medium
user_434,"['marketing', 'fitness', 'python', 'health', 'web development']",low
user_435,['technology'],medium
user_436,"['python', 'startups']",low
user_437,['business'],low
user_438,"['technology', 'social media', 'fitness']",medium
user_439,"['fitness', 'javascript', 'design']",high
user_440,"['data science', 'art', 'travel', 'web development', 'health']",high
user_441,"['javascript', 'design']",medium
user_442,['machine learning'],low
user_443,"['data science', 'health', 'startups']",medium
user_444,"['machine learning', 'startups', 'photography', 'food', 'javascript']",low
user_445,"['social media', 'finance', 'programming', 'technology']",medium
user_446,"['programming', 'business', 'social media', 'travel', 'ai']",medium
user_447,"['python', 'social media', 'photography', 'startups']",high
user_448,"['fitness', 'photography', 'javascript', 'data science', 'python']",high
user_449,"['art', 'finance']",low
user_450,"['photography', 'art', 'travel', 'investing']",high
user_451,"['programming', 'python', 'health']",low
user_452,"['social media', 'startups', 'design', 'python']",low
user_453,"['art', 'marketing', 'finance', 'photography', 'social media']",medium
user_454,"['health', 'marketing', 'fitness', 'machine learning']",medium
user_455,"['food', 'marketing']",low
user_456,"['fitness', 'design']",medium
user_457,"['data science', 'business', 'programming']",low
user_458,"['ai', 'design', 'python']",low
user_459,"['fitness', 'health', 'design']",medium
user_460,['ai'],high
user_461,"['investing', 'marketing']",low
user_462,"['art', 'ai', 'fitness', 'investing', 'marketing']",medium
user_463,"['startups', 'python', 'travel', 'social media', 'photography']",medium
user_464,"['programming', 'machine learning', 'food', 'business']",high
user_465,['design'],medium
user_466,"['art', 'design']",medium
user_467,['photography'],low
user_468,"['javascript', 'startups', 'social media', 'health']",low
user_469,['travel'],low
user_470,"['finance', 'startups', 'photography']",medium
user_471,"['food', 'technology']",medium
user_472,"['python', 'finance', 'design', 'data science', 'marketing']",medium
user_473,['data science'],high
user_474,"['ai', 'finance', 'machine learning']",low
user_475,"['social media', 'programming']",low
user_476,"['social media', 'web development', 'programming', 'javascript', 'machine learning']",low
user_477,['social media'],low
user_478,"['javascript', 'business', 'programming']",low
user_479,['art'],medium
user_480,"['photography', 'marketing']",low
user_481,"['food', 'programming', 'python', 'javascript']",medium
user_482,"['social media', 'programming', 'design', 'art', 'investing']",high
user_483,"['programming', 'travel', 'ai', 'business', 'web development']",high
user_484,"['art', 'health']",high
user_485,"['health', 'finance', 'art', 'food']",high
user_486,"['travel', 'machine learning', 'photography', 'social media', 'programming']",low
user_487,"['finance', 'photography', 'marketing']",low
user_488,"['data science', 'business']",low
user_489,['programming'],high
user_490,"['javascript', 'food', 'business']",low
user_491,"['web development', 'programming', 'health', 'investing', 'marketing']",low
user_492,"['health', 'food', 'travel', 'data science', 'programming']",high
user_493,"['web development', 'food', 'business', 'ai', 'programming']",low
user_494,"['marketing', 'photography']",medium
user_495,['startups'],medium
user_496,"['design', 'fitness']",medium
user_497,"['machine learning', 'startups', 'python', 'marketing', 'travel']",high
user_498,"['startups', 'ai']",medium
user_499,['data science'],low
user_500,"['ai', 'investing', 'fitness', 'food', 'social media']",high
user_501,"['technology', 'photography', 'python', 'javascript']",high
user_502,"['ai', 'web development']",low
user_503,['photography'],medium
user_504,"['ai', 'food', 'investing', 'startups']",medium
user_505,"['startups', 'data science']",high
user_506,['marketing'],high
user_507,"['data science', 'travel', 'web development']",low
user_508,['programming'],medium
user_509,['investing'],low
user_510,"['startups', 'social media', 'programming']",medium
user_511,"['programming', 'data science', 'machine learning', 'business', 'javascript']",low
user_512,"['social media', 'technology']",medium
user_513,"['programming', 'python', 'ai']",high
user_514,"['machine learning', 'fitness', 'startups', 'finance', 'web development']",high
user_515,"['data science', 'investing']",medium
user_516,"['marketing', 'fitness', 'python', 'design']",medium
user_517,"['javascript', 'web development', 'food']",high
user_518,['food'],low
user_519,['ai'],high
user_520,"['marketing', 'programming', 'design']",high
user_521,"['social media', 'photography', 'health', 'python']",medium
user_522,"['art', 'javascript', 'design', 'startups', 'web development']",low
user_523,"['startups', 'data science', 'machine learning']",high
user_524,"['data science', 'technology']",low
user_525,"['web development', 'technology', 'photography', 'data science', 'javascript']",medium
user_526,"['business', 'web development']",high
user_527,['social media'],medium
user_528,"['photography', 'food', 'fitness', 'social media']",high
user_529,"['fitness', 'marketing', 'programming', 'travel', 'finance']",high
user_530,"['startups', 'finance', 'javascript', 'data science']",low
user_531,"['design', 'web development', 'finance']",medium
user_532,"['fitness', 'startups', 'javascript', 'data science', 'health']",high
user_533,"['technology', 'programming', 'photography']",high
user_534,"['javascript', 'design', 'fitness', 'ai', 'photography']",high
user_535,"['technology', 'finance', 'fitness']",high
user_536,"['finance', 'startups', 'travel', 'technology']",medium
user_537,"['fitness', 'startups', 'travel']",high
user_538,"['travel', 'business', 'design']",medium
user_539,"['startups', 'food', 'design', 'travel', 'machine learning']",low
user_540,"['health', 'data science', 'python']",medium
user_541,"['finance', 'social media', 'javascript']",high
user_542,"['data science', 'ai']",high
user_543,"['travel', 'fitness', 'social media']",low
user_544,"['technology', 'javascript', 'design', 'marketing', 'finance']",medium
user_545,"['food', 'data science', 'machine learning', 'programming', 'social media']",high
user_546,"['technology', 'programming', 'health']",medium
user_547,"['ai', 'food']",low
user_548,"['food', 'travel', 'startups', 'technology']",low
user_549,"['social media', 'design', 'data science', 'health']",medium
user_550,"['javascript', 'startups', 'ai', 'finance', 'investing']",low
user_551,"['food', 'finance']",high
user_552,"['food', 'programming', 'photography', 'fitness']",low
user_553,"['design', 'finance', 'photography', 'machine learning', 'business']",medium
user_554,"['programming', 'javascript']",low
user_555,['travel'],high
user_556,"['marketing', 'programming', 'health', 'machine learning']",high
user_557,['web development'],low
user_558,['data science'],low
user_559,['art'],low
user_560,['photography'],low
user_561,"['technology', 'programming', 'food', 'art']",medium
user_562,"['technology', 'startups', 'art', 'travel', 'javascript']",low
user_563,['design'],medium
user_564,"['technology', 'investing', 'social media', 'python']",high
user_565,"['finance', 'social media', 'fitness', 'marketing']",low
user_566,"['design', 'finance', 'marketing']",high
user_567,"['web development', 'art', 'startups']",low
user_568,"['programming', 'ai', 'marketing', 'data science']",medium
user_569,"['health', 'business', 'python', 'javascript', 'ai']",high
user_570,"['business', 'data science', 'technology', 'design']",medium
user_571,['fitness'],low
user_572,"['ai', 'python']",high
user_573,"['javascript', 'social media', 'ai', 'food']",high
user_574,"['startups', 'machine learning']",low
user_575,['data science'],medium
user_576,"['marketing', 'health', 'python', 'social media']",high
user_577,"['business', 'fitness', 'food', 'programming']",medium
user_578,"['finance', 'investing']",medium
user_579,"['javascript', 'data science', 'startups', 'photography']",high
user_580,"['photography', 'javascript', 'investing', 'art', 'python']",medium
user_581,"['machine learning', 'technology', 'business', 'design']",low
user_582,['technology'],low
user_583,"['technology', 'social media', 'startups', 'photography']",high
user_584,"['technology', 'health', 'design']",high
user_585,"['technology', 'social media']",medium
user_586,"['travel', 'health']",high
user_587,"['investing', 'health']",low
user_588,"['data science', 'fitness']",high
user_589,"['fitness', 'finance', 'social media', 'data science']",medium
user_590,"['fitness', 'design', 'art', 'technology']",medium
user_591,"['startups', 'health', 'web development', 'python']",high
user_592,"['design', 'technology', 'programming', 'art', 'photography']",medium
user_593,['health'],medium
user_594,"['investing', 'design', 'web development', 'photography', 'programming']",low
user_595,"['web development', 'machine learning', 'technology']",low
user_596,"['photography', 'programming', 'art', 'fitness']",high
user_597,"['food', 'health']",low
user_598,"['photography', 'python', 'data science', 'javascript', 'art']",medium
user_599,"['python', 'food']",low
user_600,"['food', 'web development', 'photography', 'social media']",low
user_601,"['social media', 'programming', 'health']",medium
user_602,"['finance', 'machine learning', 'health', 'travel']",low
user_603,"['travel', 'fitness', 'javascript', 'python', 'web development']",low
user_604,"['startups', 'business']",low
user_605,"['social media', 'design', 'investing', 'business']",medium
user_606,['investing'],low
user_607,"['art', 'marketing', 'fitness', 'investing']",high
user_608,['investing'],medium
user_609,"['travel', 'technology', 'investing']",medium
user_610,['art'],low
user_611,"['programming', 'javascript', 'investing', 'art']",low
user_612,['health'],high
user_613,"['food', 'investing', 'health', 'art', 'javascript']",medium
user_614,"['fitness', 'ai', 'machine learning']",high
user_615,"['food', 'photography', 'fitness', 'ai']",high
user_616,"['data science', 'investing']",high
user_617,"['travel', 'investing', 'web development', 'art', 'social media']",low
user_618,"['art', 'startups', 'investing', 'machine learning']",high
user_619,"['javascript', 'ai']",medium
user_620,"['business', 'programming', 'photography', 'data science']",high
user_621,"['web development', 'investing']",low
user_622,"['photography', 'business']",medium
user_623,"['health', 'art', 'data science']",low
user_624,"['data science', 'food', 'programming', 'javascript']",high
user_625,"['health', 'investing', 'machine learning', 'web development']",low
user_626,"['marketing', 'web development', 'data science', 'food', 'finance']",low
user_627,"['python', 'web development', 'startups', 'design']",high
user_628,"['python', 'art', 'marketing']",medium
user_629,"['food', 'technology']",medium
user_630,['art'],medium
user_631,"['ai', 'design', 'python', 'travel', 'web development']",medium
user_632,"['javascript', 'python', 'technology', 'social media']",medium
user_633,"['startups', 'fitness', 'photography', 'finance']",high
user_634,"['python', 'art', 'web development']",high
user_635,"['art', 'javascript', 'startups', 'business', 'investing']",medium
user_636,"['food', 'marketing']",low
user_637,"['web development', 'marketing']",medium
user_638,"['photography', 'food', 'javascript']",high
user_639,"['travel', 'data science']",medium
user_640,"['startups', 'ai', 'data science']",medium
user_641,"['ai', 'data science', 'web development', 'health']",low
user_642,"['photography', 'travel']",low
user_643,['technology'],low
user_644,['startups'],high
user_645,"['health', 'startups', 'ai', 'fitness', 'marketing']",high
